CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87757005;Cannes-Marchandises;O;N;930000;1;189+622;CANNES;ALPES-MARITIMES;3473;e53fcfc2-6667-11e3-a7ff-01f464e0362d;1021397.5280999988;6280125.913199998;6.977245954740099;43.54733946992869;43.54733946992869, 6.977245954740099;43.54733946990531, 6.977245954740102;"{""coordinates"": [6.977245954740102, 43.54733946990531], ""type"": ""Point""}"
87684613;Herbeauvilliers;O;N;747000;1;017+112;BUTHIERS;SEINE-ET-MARNE;4436;e54e7564-6667-11e3-a7ff-01f464e0362d;661471.5487999991;6798751.1094;2.48056514912169;48.28795027224733;48.28795027224733, 2.4805651491216896;48.287950272237275, 2.4805651491216887;"{""coordinates"": [2.480565149121689, 48.287950272237275], ""type"": ""Point""}"
87287193;Ste-Marguerite;N;O;296000;1;017+747;COMINES;NORD;6718;d9ad031a-6667-11e3-89ff-01f464e0362d;700651.3189999983;7071576.058600001;3.009210140330278;50.740839489626424;50.740839489626424, 3.0092101403302784;50.74083948961322, 3.0092101403302784;"{""coordinates"": [3.009210140330278, 50.74083948961322], ""type"": ""Point""}"
87734269;Brioude;O;O;790000;1;489+099;BRIOUDE;HAUTE-LOIRE;3410;d9a9a04a-6667-11e3-89ff-01f464e0362d;729683.9127999991;6466875.8081;3.378735969942512;45.300607050091536;45.300607050091536, 3.3787359699425124;45.3006070500728, 3.3787359699425124;"{""coordinates"": [3.378735969942512, 45.3006070500728], ""type"": ""Point""}"
87583468;Roumazières-Loubert;N;O;608000;1;000+000;TERRES-DE-HAUTE-CHARENTE;CHARENTE;6319;2979c9a4-dfbc-11e3-a2ff-01a464e0362d;512269.6997999996;6535064.946400002;0.57881093188247;45.88935397042813;45.88935397042813, 0.5788109318824696;45.889353970411065, 0.5788109318824676;"{""coordinates"": [0.578810931882468, 45.889353970411065], ""type"": ""Point""}"
87381210;Liancourt-St-Pierre;N;O;330000;2;054+834;LIANCOURT-SAINT-PIERRE;OISE;5155;d9970280-6667-11e3-89ff-01f464e0362d;620259.0424999967;6902871.9122;1.905540770738303;49.22057380079402;49.22057380079402, 1.9055407707383034;49.220573800773785, 1.9055407707383027;"{""coordinates"": [1.905540770738303, 49.220573800773785], ""type"": ""Point""}"
87413708;Harfleur-Halte;N;O;361000;1;223+279;HARFLEUR;SEINE-MARITIME;9570;2997a0fa-dfbc-11e3-a2ff-01a464e0362d;496591.19359999895;6937691.942400001;0.192179896657217;49.506017924929225;49.506017924929225, 0.19217989665721744;49.50601792491039, 0.19217989665721547;"{""coordinates"": [0.192179896657215, 49.50601792491039], ""type"": ""Point""}"
87613463;Najac;N;O;718000;1;289+520;NAJAC;AVEYRON;5728;c0a5544c-f312-11e3-90ff-015864e0362d;618229.8246000037;6347577.309900001;1.976477863897994;44.22243921196413;44.22243921196413, 1.976477863897994;44.22243921194245, 1.9764778638979936;"{""coordinates"": [1.976477863897994, 44.22243921194245], ""type"": ""Point""}"
87576884;Villefranche-sur-Cher;O;O;593000;1;223+786;VILLEFRANCHE-SUR-CHER;LOIR-ET-CHER;7230;298f8d0c-dfbc-11e3-a2ff-01a464e0362d;606937.6517999992;6689017.317000002;1.768504119815024;47.29494249838341;47.29494249838341, 1.7685041198150238;47.29494249837047, 1.7685041198150229;"{""coordinates"": [1.768504119815023, 47.29494249837047], ""type"": ""Point""}"
87721035;Amplepuis;N;O;783000;1;448+780;AMPLEPUIS;RHONE;2868;d9477914-6667-11e3-89ff-01f464e0362d;802767.2656000033;6542061.044100001;4.327214357367171;45.97049539677039;45.97049539677039, 4.327214357367171;45.970495396753556, 4.327214357367172;"{""coordinates"": [4.327214357367172, 45.970495396753556], ""type"": ""Point""}"
87721050;Régny;N;O;783000;1;437+172;REGNY;LOIRE;6214;d994f8d8-6667-11e3-89ff-01f464e0362d;794075.9919999987;6543823.797899999;4.215337566332648;45.98762679101134;45.98762679101134, 4.215337566332648;45.98762679099456, 4.215337566332648;"{""coordinates"": [4.215337566332648, 45.98762679099456], ""type"": ""Point""}"
87317040;Conchil-le-Temple;O;N;311000;1;209+014;CONCHIL-LE-TEMPLE;PAS-DE-CALAIS;8037;d9e36b0a-6667-11e3-89ff-01f464e0362d;604595.2410999984;7030187.5044;1.660959193069648;50.36210328864531;50.36210328864531, 1.6609591930696483;50.36210328863044, 1.6609591930696472;"{""coordinates"": [1.660959193069647, 50.36210328863044], ""type"": ""Point""}"
87175802;Buzy (Meuse);O;N;085000;1;304+886;BUZY-DARMONT;MEUSE;8532;e549d396-6667-11e3-a7ff-01f464e0362d;897681.1015999988;6900322.483199999;5.711115267260615;49.17210944741518;49.17210944741518, 5.711115267260615;49.17210944739471, 5.711115267260617;"{""coordinates"": [5.711115267260617, 49.17210944739471], ""type"": ""Point""}"
87171454;Lavannes-Caurel;O;N;205000;1;065+952;CAUREL;MARNE;8354;e54fcd54-6667-11e3-a7ff-01f464e0362d;783296.2154000029;6913463.9683;4.145357680512822;49.31532967150995;49.31532967150995, 4.145357680512822;49.31532967149018, 4.145357680512823;"{""coordinates"": [4.145357680512823, 49.31532967149018], ""type"": ""Point""}"
87271817;Soissons;O;O;229000;1;104+329;SOISSONS;AISNE;6865;29646314-dfbc-11e3-a2ff-01a464e0362d;724582.684799999;6918883.234499998;3.338363138513456;49.36900007909761;49.36900007909761, 3.3383631385134556;49.3690000790781, 3.3383631385134556;"{""coordinates"": [3.338363138513456, 49.3690000790781], ""type"": ""Point""}"
87757666;Juan-les-Pins;N;O;930000;1;202+326;ANTIBES;ALPES-MARITIMES;4539;29c63dc2-dfbc-11e3-a2ff-01a464e0362d;1032112.9668999985;6283311.346000001;7.1116630547827;43.57102644650271;43.57102644650271, 7.1116630547827;43.57102644647937, 7.111663054782704;"{""coordinates"": [7.111663054782704, 43.57102644647937], ""type"": ""Point""}"
